articleId,cleaned_statement,label
2635,say anni list polit group support trimest abort demand premis fail anni list make bone comfort candid oppos restrict late term abort year back hous candid vote limit,false
10540,declin coal start start natur take start begin presid georg bush administr surovel say declin coal start natur take start begin presid georg bush administr doubt natur gain grind coal gener electr trend start clearli gain speed bush administr product natur competitor coal pick analyst littl credit blame bush trend note factor technolog innov polici previou administr lay groundwork natur boom,half-true
324,hillari clinton agre john mccain vote georg bush benefit doubt iran obama say vote amend present clinton agre mccain issu technic vote vote lieberman give georg bush benefit doubt iran remain contenti issu obama main point clinton mccain correct,mostly-true
9028,econom turnaround start term crist say econom turnaround start term crist year offic florida economi experi notabl gain person incom industri product margin improv unemploy rate payrol employ didnt grow scott take offic economist crist deserv credit econom turnaround accept feder stimulu dollar state inevit buffet nation intern trend control,half-true
12465,chicago bear start quarterback year total number tenur faculti fire decad specif word fire mean faculti dismiss caus rat say chicago bear start quarterback past year number faculti member fire past year faculti member fire past decad differ start quarterback bear past decad,true
2342,dunnam live district repres year determin signific detect work photo broader interpret allow possibl dunnam live exclus hous district year instead flit live hous,barely-true
153,person stage work activ year pass russ feingold toughest ethic reform waterg sponsor major leader harri reid introduc day earlier eventu obama cosponsor success offer amend concern lobbyist disclosur includ element introduc previou year obama biden clinton dodd vote hous kucinich vote,half-true
5602,take million oregon lotteri fund port newport eventu land noaa marin oper center pacif johnson correct factor play role lotteri suggest money final piec incomplet statement partial accur lotteri money leas competit leav import detail astoria drop newport better technic front legisl leader pull asid dollar bond author,half-true
9741,say primari oppon glenn grothman leibham cast compromis vote cost million higher electr cost consid million figur cover year reason assum year total higher rat stroebel say glenn grothman leibham cast compromis vote cost million higher electr cost cast vote higher cost follow,mostly-true
7115,time histori share nation popular vote margin smaller latino vote margin senat correct latino voter obama win popular vote accord latino decis poll exit poll data elect time latino voter deliv vote popular vote victori year elect mark time latino decis elect overal winner accord founder latino decis,mostly-true
4148,nearli million american slip middl class poverti leav sander solid number clearli right underli trend despit down impoverish american today measur number percentag popul think go suggest million american simpli fell middl class poverti ignor fact million american slip poverti american simultan climb poverti,half-true
5947,mitt romney governor massachusett didnt slow rate growth govern actual,false
8705,afford care sens waiv suspend talk problem health care easi forget corner health insur polici affect guilti news sunday say waiv suspend obama major cours correct delay employ mandat year allow individu deal cancel plan insur fail meet minimum standard chang context look number peopl affect precis data miss combin impact rang million american ledger million young adult gain access coverag million peopl subject individu mandat million benefit requir health insur compani spend premium care,barely-true
10683,elect novemb percent american peopl choos vote percent young peopl percent incom worker choos vote sander say elect novemb percent american peopl choos vote percent young peopl percent incom worker choos vote sander loos number word point rat vote american especi younger poorer american high,half-true
620,mccain oppos requir govern american motorcycl say american provis quot disgrac firmli object america restrict repres gross exampl protectionist trade polici add furthermor fiscal conserv want ensur govern get best deal taxpay american restrict guarante mccain campaign respond obama charg past word,true
3863,kind fellow democrat go spend spree credit card max outand debt result cut spend measur democrat republican support measur,barely-true
12372,water rat manila philippin rais percent subsidiari world bank partial owner moor say intern financ corpor owner manila water rat rise percent sourc cite moor staff undermin number intern financ corpor buy stake rat rise percent moor incorrectli figur appli period craft plan privat place parti know import capit invest follow rat moor wrongli peg rate increas date ifc equiti posit develop corpor play role start,half-true
12385,peopl leav puerto rico year rule say peopl leav puerto rico year appear close airlin data suggest peopl depart puerto rico unit state enter that perfect estim measur migrat popul trend suggest puerto rico experi surg migrat resid leav better job prospect unit state,mostly-true
10173,women make adjust inflat john kitzhab elect governor didnt word chang final result richardson campaign regardless inform provid hold data feder agenc state employ depart gender today wag adjust inflat kitzhab elect,false
12408,best year auto industri america histori clinton say best year auto industri america histori,mostly-true
10215,dont know jonathan gruber pelosi say know jonathan gruber,false
12517,hate crime american muslim mosqu tripl pari bernardino clinton say hate crime american muslim mosqu tripl pari bernardino calcul director academ center number tripl attack worth note data remain elev level long reason interpret clinton say,mostly-true
3910,rick perri lose elect remain person texa governorship time landslid elect jillson say term perri landslid say governor percent amount comeupp percent voter choos differ aspir perri texa governor elect thrice win bona fide landslid third landslid statu debat,half-true
11092,isi support tweet shoot begin chattanooga tenn geller updat origin post littl stuff rumor,false
12163,youth unemploy minor commun percent defin citi suburb township minor commun matter debat worth note ferguson youth unemploy peer loui significantli unemploy averag white black year old countri ferguson commun question kinder cite rate percent percent youth unemploy minor commun ferguson kinder estim,mostly-true
13237,say paul ryan endors trump york time news say ryan respond critic support trump emphas withdraw endors rat clinton say ryan endors trump,true
5383,look state right work constantli budget deficit good busi climat gener rank right work state higher union state consid factor includ polici account better rank updat politifactri twitter,barely-true
8239,busi tax today percent busi dont busi scott say percent busi busi gener point tenur cut sort tax state data tax show percent busi dont corpor incom exempt scott includ small busi calcul omit exempt pay take offic,mostly-true
10121,say mark pryor vote obama percent time cotton say pryor vote obama percent time obama presid pryor vote line presid posit percent time percent basic percent averag accord best rat dispos pryor doesnt vote democrat parti presidenti support vote lower senat democrat cotton number target base data pryor oppos obama issu,mostly-true
7550,feder govern think author regul toilet seat cruz rail modern interpret commerc claus amend constitut say feder govern think author regul toilet seat,true
9018,austin citi basic doubl size year found leffingwel say austin citi basic doubl size year found,true
8492,presid georg bush add trillion debt presid obama weve add trillion debt ayott say countri add trillion nation debt obama take offic trillion bush measur total debt she correct count,true
5352,say suprem court justic suggest case decid base south african rubio mention femal suprem court judg conclud appel lawyer need brush south african case appar go decid go forward rubio impli justic ginsburg favor south african constitut case decid base south african rubio poke distort suggest legal matter decid base south african ginsburg give advic countri draft constitut suggest exampl write recent constitut didnt constitut explain write time slaveri legal women didnt equal right fact ginsburgalso heap lot prais constitut,false
12027,say marco rubio skip defens vote includ kurd fight isi cruz say marco rubio skip defens vote includ kurd fight isi omit rubio vote overal pass senat major skip vote amend procedur relat vote pass senat omit cruz vote,half-true
