articleId,cleaned_statement,label
2635,say anni list polit group support trimest abort demand premis fail anni list make bone comfort candid oppos restrict late term abort year back hous candid vote limit,false
10540,declin coal start start natur took start begin presid georg bush administr surovel said declin coal start natur took start begin presid georg bush administr doubt natur gain ground coal gener electr trend start clearli gain speed bush administr product natur competitor coal pick analyst littl credit blame bush trend note factor technolog innov polici previou administr lay groundwork natur boom,half-true
324,hillari clinton agre john mccain vote georg bush benefit doubt iran obama said vote amend present clinton agre mccain issu technic vote vote lieberman give georg bush benefit doubt iran remain contenti issu obama main point clinton mccain correct,mostly-true
1123,health care reform legisl like mandat free chang surgeri releas point mikulski comment open door medic necessari coverag conceiv includ chang oper unclear amend remain legisl specif legisl chang procedur solid indic coverag provid news releas cherri pick fleet refer gender sexual orient complet unrel context argu propos health care legisl mandat free chang surgeri allow illeg alien,false
9028,econom turnaround start term crist said econom turnaround start term crist year offic florida economi experienc notabl gain person incom industri product margin improv unemploy rate payrol employ didnt grow scott took offic economist crist deserv credit econom turnaround accept feder stimulu dollar state inevit buffet nation intern trend control,half-true
12465,chicago bear start quarterback year total number tenur faculti fire decad specif word fire mean faculti dismiss caus rate said chicago bear start quarterback past year number faculti member fire past year faculti member fire past decad differ start quarterback bear past decad,true
2342,dunnam live district repres year determin signific detect work photo broader interpret allow possibl dunnam live exclus hous district year instead flit life hous,barely-true
153,person stage work activ year pass ru feingold toughest ethic reform waterg sponsor major leader harri reid introduc day earlier eventu obama cosponsor success offer amend concern lobbyist disclosur includ element introduc previou year obama biden clinton dodd vote hous kucinich vote,half-true
5602,took million oregon lotteri fund port newport eventu land noaa marin oper center pacif johnson correct factor play role lotteri suggest money final piec incomplet statement partial accur lotteri money leas competit leaf import detail astoria drop newport better technic front legisl leader pull asid dollar bond author,half-true
9741,say primari oppon glenn grothman leibham cast compromis vote cost million higher electr cost consid million figur cover year reason assum year total higher rate stroebel say glenn grothman leibham cast compromis vote cost million higher electr cost cast vote higher cost follow,mostly-true
7115,time histori share nation popular vote margin smaller latino vote margin senat correct latino voter obama win popular vote accord latino decis poll exit poll data elect time latino voter deliv vote popular vote victori year elect mark time latino decis elect overal winner accord founder latino decis,mostly-true
4148,nearli million american slip middl class poverti leav sander solid number clearli right underli trend despit down impoverish american today measur number percentag popul think go suggest million american simpli fell middl class poverti ignor fact million american slip poverti american simultan climb poverti,half-true
5947,mitt romney governor massachusett didnt slow rate growth govern actual,false
8616,economi bled billion govern shutdown doonesburi garri trudeau said govern shutdown cost economi billion base highest independ estim promin forecast goldman sach moodi assess damag billion survey economist billion like figur broad agreement polit impass produc uncertainti put ongo unquantifi damper growth trudeau like aim verisimilitud achiev high defens estim independ sourc,mostly-true
8705,afford care sens waiv suspend talk problem health care easi forget corner health insur polici affect guilti news sunday said waiv suspend obama major cours correct delay employ mandat year allow individu deal cancel plan insur fail meet minimum standard chang context look number peopl affect precis data miss combin impact rang million american ledger million young adult gain access coverag million peopl subject individu mandat million benefit requir health insur compani spend premium care,barely-true
10683,elect novemb percent american peopl chose vote percent young peopl percent incom worker chose vote sander said elect novemb percent american peopl chose vote percent young peopl percent incom worker chose vote sander loos number word point rate vote american especi younger poorer american high,half-true
620,mccain oppos requir govern american motorcycl said american provis quot disgrac firmli object america restrict repres gross exampl protectionist trade polici ad furthermor fiscal conserv want ensur govern get best deal taxpay american restrict guarante mccain campaign respond obama charg past word,true
3863,kind fellow democrat went spend spree credit card max outand debt result cut spend measur democrat republican support measur,barely-true
12372,water rate manila philippin rais percent subsidiari world bank partial owner moor said intern financ corpor owner manila water rate rose percent sourc cite moor staff undermin number intern financ corpor bought stake rate rose percent moor incorrectli figur appli period craft plan privat place parti knew import capit invest follow rate moor wrongli peg rate increas date ifc equiti posit develop corpor play role start,half-true
12385,peopl left puerto rico year rule said peopl left puerto rico year appear close airlin data suggest peopl depart puerto rico unit state enter that perfect estim measur migrat popul trend suggest puerto rico experienc surg migrat resid leav better job prospect unit state,mostly-true
10173,woman make adjust inflat john kitzhab elect governor didnt word chang final result richardson campaign regardless inform provid hold data feder agenc state employ depart gender today wage adjust inflat kitzhab elect,false
9867,unit state highest corpor rate free world boll said unit state highest corpor rate free world refer statutori rate mean rate deduct score right unit state highest statutori rate develop countri unit state corpor rate doesnt appear highest deduct exclus taken account boll correct valid definit,mostly-true
12408,best year auto industri america histori clinton said best year auto industri america histori,mostly-true
2673,say scott walker favor cut famili child health care walker chang cours muddier posit greater wisconsin continu cite number add import qualifi walker posit unclear focu rein badgercar enrol number remain seen,half-true
7057,say mitt romney want plan parenthood plan parenthood action fund said romney want plan parenthood directli contradict romney said want feder fund plan parenthood abolish organ staff reaffirm posit there question feder fund signific blow organ oper potenti chop percent percent budget exagger romney organ updat stori appear plan parenthood provid addit statist medicaid patient servic,barely-true
10215,dont know jonathan gruber pelosi said know jonathan gruber,false
12517,hate crime american muslim mosqu tripl pari bernardino clinton said hate crime american muslim mosqu tripl pari bernardino calcul director academ center number tripl attack worth note data remain elev level long reason interpret clinton said,mostly-true
3910,rick perri lost elect remain person texa governorship time landslid elect jillson said term perri landslid said governor percent amount comeupp percent voter chose differ aspir perri texa governor elect thrice win bona fide landslid third landslid statu debat,half-true
11092,isi support tweet shoot began chattanooga tenn geller updat origin post littl stuff rumor,false
12163,youth unemploy minor commun percent defin citi suburb township minor commun matter debat worth note ferguson youth unemploy peer loui significantli unemploy averag white black year old countri ferguson commun question kinder cite rate percent percent youth unemploy minor commun ferguson kinder estim,mostly-true
