articleId,cleaned_statement,label
2635,say annies list political group support trimester abortion demand premise fail annie list make bone comfortable candidate oppose restriction late term abortion year back house candidate vote limit,false
10540,decline coal start start natural take start begin president george bush administration surovell say decline coal start natural take start begin president george bush administration doubt natural gain grind coal generate electricity trend start clearly gain speed bush administration production natural competitor coal pick analyst little credit blame bush trend note factor technological innovation policy previous administration lay groundwork natural boom,half-true
324,hillary clinton agree john mccain vote george bush benefit doubt iran obama say vote amendment present clinton agree mccain issue technically vote vote lieberman give george bush benefit doubt iran remain contentious issue obama main point clinton mccain correct,mostly-true
1123,health care reform legislation likely mandate free change surgery release point mikulskis comment open door medically necessary coverage conceivably include change operation unclear amendment remain legislation specific legislation change procedure solid indicate coverage provide news release cherry pick fleet reference gender sexual orientation completely unrelated context argue propose health care legislation mandate free change surgery allow illegal alien,false
9028,economic turnaround start term crist say economic turnaround start term crists year office florida economy experience notable gain personal income industrial production marginal improvement unemployment rate payroll employment didnt grow scott take office economist crist deserve credit economic turnaround accept federal stimulus dollar state inevitably buffet national international trend control,half-true
12465,chicago bear start quarterback year total number tenure faculty fire decade specifically word fire mean faculty dismiss cause rat say chicago bear start quarterback past year number faculty member fire past year faculty member fire past decade different start quarterback bear past decade,true
2342,dunnam live district represent year determine significant detective work photo broader interpretation allow possibility dunnam live exclusively house district year instead flit life house,barely-true
153,person stage work actively year pass rus feingold toughest ethic reform watergate sponsor majority leader harry reid introduce day earlier eventually obama cosponsor successfully offer amendment concern lobbyist disclosure include element introduce previous year obama biden clinton dodd vote house kucinich vote,half-true
5602,take million oregon lottery fund port newport eventually land noaa marine operation center pacific johnson correct factor play role lottery suggest money final piece incomplete statement partially accurate lottery money lease competitive leaf important detail astoria drop newport better technical front legislative leader pull aside dollar bond authority,half-true
9741,say primary opponent glenn grothman leibham cast compromise vote cost million higher electricity cost consider million figure cover year reasonable assume year total higher rat stroebels say glenn grothman leibham cast compromise vote cost million higher electricity cost cast vote higher cost follow,mostly-true
7115,time history share national popular vote margin smaller latino vote margin senator correct latino voter obama win popular vote accord latino decision poll exit poll data election time latino voter deliver vote popular vote victory year election mark time latino decisive elect overall winner accord founder latino decision,mostly-true
4148,nearly million american slip middle class poverty leave sander solid number clearly right underlie trend despite down impoverish american today measure number percentage population think go suggest million american simply fell middle class poverty ignore fact million american slip poverty american simultaneously climb poverty,half-true
5947,mitt romney governor massachusetts didnt slow rate growth government actually,false
8616,economy bleed billion government shutdown doonesbury garry trudeau say government shutdown cost economy billion base highest independent estimate prominent forecaster goldman sachs moody assess damage billion survey economist billion likely figure broad agreement political impasse produce uncertainty put ongoing unquantified damper growth trudeau like aim verisimilitude achieve high defensible estimate independent source,mostly-true
