articleId,cleaned_statement,label
2635,say annies list political group support trimester abortion demand premise fails annie list make bone comfortable candidate oppose restriction late term abortion year backing house candidate voted limit,false
10540,decline coal start started natural took started begin president george bush administration surovell said decline coal started natural took started begin president george bush administration doubt natural gaining ground coal generating electricity trend started clearly gained speed bush administration production natural competitor coal picked analyst little credit blame bush trend note factor technological innovation policy previous administration laying groundwork natural boom,half-true
324,hillary clinton agrees john mccain voting george bush benefit doubt iran obama said voted amendment present clinton agreed mccain issue technically vote voting lieberman giving george bush benefit doubt iran remains contentious issue obama main point clinton mccain correct,mostly-true
1123,health care reform legislation likely mandate free change surgery release point mikulskis comment open door medically necessary coverage conceivably include change operation unclear amendment remain legislation specific legislation change procedure solid indicates coverage provided news release cherry picked fleeting reference gender sexual orientation completely unrelated context argue proposed health care legislation mandate free change surgery allow illegal alien,false
9028,economic turnaround started term crist said economic turnaround started term crists year office florida economy experienced notable gain personal income industrial production marginal improvement unemployment rate payroll employment didnt grow scott took office economist crist deserves credit economic turnaround accepted federal stimulus dollar state inevitably buffeted national international trend control,half-true
12465,chicago bear starting quarterback year total number tenured faculty fired decade specifically word fired mean faculty dismissed cause rating said chicago bear starting quarterback past year number faculty member fired past year faculty member fired past decade different starting quarterback bear past decade,true
2342,dunnam lived district represents year determining significant detective work photo broader interpretation allow possibility dunnam lived exclusively house district year instead flit life house,barely-true
153,person stage worked actively year passing rus feingold toughest ethic reform watergate sponsored majority leader harry reid introduced day earlier eventually obama cosponsor successfully offer amendment concerning lobbyist disclosure included element introduced previous year obama biden clinton dodd voted house kucinich voted,half-true
5602,took million oregon lottery fund port newport eventually land noaa marine operation center pacific johnson correct factor played role lottery suggest money final piece incomplete statement partially accurate lottery money lease competitive leaf important detail astoria dropped newport better technical front legislative leader pulled aside dollar bonding authority,half-true
9741,say primary opponent glenn grothman leibham cast compromise vote cost million higher electricity cost considering million figure cover year reasonable assume year total higher rating stroebels say glenn grothman leibham cast compromise vote cost million higher electricity cost cast vote higher cost followed,mostly-true
7115,time history share national popular vote margin smaller latino vote margin senator correct latino voter obama winning popular vote according latino decision poll exit polling data election time latino voter delivered vote popular vote victory year election mark time latino decisive electing overall winner according founder latino decision,mostly-true
4148,nearly million american slipped middle class poverty leave sander solid number clearly right underlying trend despite down impoverished american today measured number percentage population think go suggests million american simply fell middle class poverty ignores fact million american slipping poverty american simultaneously climbing poverty,half-true
5947,mitt romney governor massachusetts didnt slow rate growth government actually,false
8616,economy bled billion government shutdown doonesbury garry trudeau said government shutdown cost economy billion based highest independent estimate prominent forecaster goldman sachs moody assessed damage billion survey economist billion likely figure broad agreement political impasse produced uncertainty put ongoing unquantified damper growth trudeau like aim verisimilitude achieved high defensible estimate independent source,mostly-true
