articleId,cleaned_statement,label
2635,say annies list political group support trimester abortion demand premise fails annie list make bone comfortable candidate oppose restriction late term abortion year backing house candidate voted limit,false
324,hillary clinton agrees john mccain voting george bush benefit doubt iran obama said voted amendment present clinton agreed mccain issue technically vote voting lieberman giving george bush benefit doubt iran remains contentious issue obama main point clinton mccain correct,mostly-true
9028,economic turnaround started term crist said economic turnaround started term crists year office florida economy experienced notable gain personal income industrial production marginal improvement unemployment rate payroll employment didnt grow scott took office economist crist deserves credit economic turnaround accepted federal stimulus dollar state inevitably buffeted national international trend control,half-true
12465,chicago bear starting quarterback year total number tenured faculty fired decade specifically word fired mean faculty dismissed cause rating said chicago bear starting quarterback past year number faculty member fired past year faculty member fired past decade different starting quarterback bear past decade,true
2342,dunnam lived district represents year determining significant detective work photo broader interpretation allow possibility dunnam lived exclusively house district year instead flit life house,barely-true
153,person stage worked actively year passing rus feingold toughest ethic reform watergate sponsored majority leader harry reid introduced day earlier eventually obama cosponsor successfully offer amendment concerning lobbyist disclosure included element introduced previous year obama biden clinton dodd voted house kucinich voted,half-true
5602,took million oregon lottery fund port newport eventually land noaa marine operation center pacific johnson correct factor played role lottery suggest money final piece incomplete statement partially accurate lottery money lease competitive leaf important detail astoria dropped newport better technical front legislative leader pulled aside dollar bonding authority,half-true
9741,say primary opponent glenn grothman leibham cast compromise vote cost million higher electricity cost considering million figure cover year reasonable assume year total higher rating stroebels say glenn grothman leibham cast compromise vote cost million higher electricity cost cast vote higher cost followed,mostly-true
7115,time history share national popular vote margin smaller latino vote margin senator correct latino voter obama winning popular vote according latino decision poll exit polling data election time latino voter delivered vote popular vote victory year election mark time latino decisive electing overall winner according founder latino decision,mostly-true
4148,nearly million american slipped middle class poverty leave sander solid number clearly right underlying trend despite down impoverished american today measured number percentage population think go suggests million american simply fell middle class poverty ignores fact million american slipping poverty american simultaneously climbing poverty,half-true
5947,mitt romney governor massachusetts didnt slow rate growth government actually,false
10683,election november percent american people chose vote percent young people percent income worker chose vote sander said election november percent american people chose vote percent young people percent income worker chose vote sander loose number wording point rate voting american especially younger poorer american high,half-true
620,mccain opposed requirement government american motorcycle said american provision quote disgraceful firmly object america restriction represent gross example protectionist trade policy added furthermore fiscal conservative want ensure government get best deal taxpayer american restriction guaranteed mccain campaign respond obama charge past word,true
3863,kind fellow democrat went spending spree credit card maxed outand debt result cut spending measure democrat republican supported measure,barely-true
12385,people left puerto rico year ruling said people left puerto rico year appears close airline data suggests people departed puerto rico united state entered thats perfect estimate measure migration population trend suggest puerto rico experiencing surge migration resident leave better job prospect united state,mostly-true
10173,woman making adjust inflation john kitzhaber elected governor didnt word change final result richardson campaign regardless information provided hold data federal agency state employment department gender today wage adjusted inflation kitzhaber elected,false
9867,united state highest corporate rate free world bolling said united state highest corporate rate free world referring statutory rate meaning rate deduction score right united state highest statutory rate developed country united state corporate rate doesnt appear highest deduction exclusion taken account bolling correct valid definition,mostly-true
12408,best year auto industry america history clinton said best year auto industry america history,mostly-true
2673,say scott walker favor cutting family child health care walker changed course muddier position greater wisconsin continued cite number add important qualifier walker position unclear focus reining badgercare enrollment number remains seen,half-true
10215,dont know jonathan gruber pelosi said know jonathan gruber,false
12517,hate crime american muslim mosque tripled paris bernardino clinton said hate crime american muslim mosque tripled paris bernardino calculation director academic center number triple attack worth noting data remained elevated level long reasonable interpretation clinton said,mostly-true
3910,rick perry lost election remains person texas governorship time landslide election jillson said term perry landslide said governor percent amounted comeuppance percent voter chose different aspirant perry texas governor election thrice win bona fide landslide third landslide status debatable,half-true
11092,isi supporter tweeted shooting began chattanooga tenn geller updated original post little stuff rumor,false
12163,youth unemployment minority community percent defining city suburb township minority community matter debate worth noting fergusons youth unemployed peer louis significantly unemployed average white black year old country ferguson community question kinder cited rate percent percent youth unemployment minority community ferguson kinders estimate,mostly-true
13237,say paul ryan endorsing trump york time news said ryan responded criticism supporting trump emphasizing withdrawing endorsement rating clinton say ryan endorsing trump,true
5383,look state right work constantly budget deficit good business climate generally rank right work state higher union state considered factor including policy account better ranking update politifactri twitter,barely-true
8239,business tax today percent business dont business scott said percent business business general point tenure cutting sort tax state data tax show percent business dont corporate income exemption scott including small business calculation omitting exempt paying took office,mostly-true
7550,federal government think authority regulate toilet seat cruz railing modern interpretation commerce clause amendment constitution said federal government think authority regulate toilet seat,true
9018,austin city basically doubled size year founded leffingwell said austin city basically doubled size year founded,true
1038,nuclear test conducted nation time earth nuclear test permanent member security council conducted percent total nuclear test mean percent test permanent member security council said right sublette said figure cited north korea test inclined quibble fraction percent,true
2940,case catastrophic event atlanta area office center disease control prevention self destruct pleased reassure neighbor need install flame proof siding said emergency plan involve blowing campus plus reported case emergency generator failure coincide subnuclear explosion,pants-fire
8492,president george bush added trillion debt president obama weve added trillion debt ayotte said country added trillion national debt obama took office trillion bush measuring total debt shes correct count,true
12027,say marco rubio skipped defense vote including kurd fight isi cruz said marco rubio skipped defense vote including kurd fight isi omits rubio voted overall passed senate majority skipped vote amendment procedural related vote passed senate omits cruz voted,half-true
7993,say ohio budget item later signed john kasich requires woman seeking abortion undergo mandatory vaginal probe kasich election year surprise democrat eager debate draw contrast governor debate type ultrasound regulation require maddow read language closely seen mandate external detection method,pants-fire
7990,obamacare provide insurance resident illegally chain email say obamacare provides insurance resident illegally actually citing proposal didnt pas doesnt matter affordable care provide health insurance living united state illegally resident living mexico france mar,pants-fire
12848,barack obama hillary clinton changed rule engagement probably cost capt humayun khan life pierson said barack obama hillary clinton changed rule engagement probably cost capt rule engagement today khan able deadly force defend importantly khan died year obama president clinton secretary state update fact check updated include pierson comment,pants-fire
13503,hillary clinton sponsored legislation jail flag burner online site townhall said hillary clinton sponsored legislation jail flag burner clinton sponsor republican backed similar legislation past court ruled flag burning legally protected,true
4930,say paperback edition mitt romneys book deleted line massachusetts individual mandate model countryperry right romney comment health care edited edition thing line advocated massachusetts model strong option state replaced shorter generic sentence line preceded argument state level solution exactly argument romney extends perry characterized betting,barely-true
12758,created job unemployment rate half today york state private sector job historyduring press briefing ontario county cuomo told group reporter job created unemployment rate fell half state private sector job,true
10693,town west texas water truck water miller said town west texas water recent year town texas occasionally well water plant need miller named town water late identify,barely-true
13077,georgia woman earn cent dollar earned democratic senate candidate barksdale woman georgia earn cent dollar earned statement missing substantial context needed fully grasp complex issue asked clarification barksdale campaign issued statement veered equal equal work argument study statement attempt address,half-true
3283,federal verifies employee authorized work inaccurate percent excess percent time suggestion error rate range percent high verifys worst error rate illegal worker high raynor suggested worker shrink percent,half-true
812,obama campaign announced choosing cabinet obama announced choosing cabinet happening usual transition planning occurs presidential campaign final day election,false
7548,percent latino texas registered vote percent actually turned battleground texas advocate said percent latino texas registered vote percent actually turned research rooted federal survey analysis starting state voting roll support figure estimate starting texas study suggest larger share voting latino citizen registered smaller share voted fodder push improve participation,mostly-true
6000,percent public high school country offer class official federal data percent high school required percent obama cited,false
321,said republican candidate actually turned government economy huckabee investment higher tax better service good turnaround category giuliani list kept mind economic circumstance chief executive faced different giuliani match romney corporate turnaround business giuliani view constitutes turnaround consider giuliani clearly clear accomplishment come government turnaround,mostly-true
